A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
Servant of Order | Mechanics | Abysses , Blight encounters, Breaches , Expedition encounters, Legion encounters, Mirrors of Delirium , Ritual altars, the Sacred Grove , Ore Deposits , and Ultimatum encounters are Extra Content that can be turned off through Atlas passives.
Servant of Order | Mechanics | It is still possible to force the encounter to appear using Map Device crafting and scarabs.
Servant of Order | Ruthless mode | Servant of Order in Ruthless mode does not grant additional chance to find other Extra Content encounters.
Set and Forget | Description | Set and Forget is a cluster jewel only notable passive skill.
Set and Forget | Unique items | The following unique items are related to Set and Forget:
Settling Ash | Description | Settling Ash is a notable passive skill that causes nearby enemies to be Covered in Ash if you have not moved for 2 seconds. Moving will remove the debuff.
Settling Ash | Anointment | Blight anointment to unlock the passive:
Shadow Shaping | Description | Shadow Shaping is an atlas passive skill and Atlas keystone.
Shadow Shaping | Mechanics | Prevents any Favoured maps from dropping. It does not disable Unique versions of Favoured maps from dropping naturally. This does not affect certain Map Rewards such as those from Delirium rewards.
Shadow Shaping | Mechanics | Shadow Shaping can be used in several ways:
Shadow Shaping | Mechanics | The following are a list of possible map implicit modifiers:
Shadow Shaping | Mechanics | If a corruption outcome adds a Vaal implicit to the map, it will not replace these implicit.
Shadow Shaping | Ruthless mode | In Ruthless mode , this does not grant a chance for maps to drop with an implicit modifier per Favoured map.
Shadow Shaping | Trivia | The keystone icon uses the maps from the War for the Atlas map series.
Shadowy Streets | Description | Shadowy Streets is a notable passive skill added by the Elegant Hubris jewel.
Shaman's Dominion | Description | Shaman's Dominion is a notable passive skill that grants increased critical strike chance and additional critical strike multiplier with totem skills
Shaman's Dominion | Anointment | Blight anointment to unlock the passive:
Shamanistic Fury | Description | Shamanistic Fury is a notable passive skill that grants increased damage and increased placement speed for totems.
Shamanistic Fury | Anointment | Blight anointment to unlock the passive:
Shaper (passive skill) | Description | Shaper is a notable passive skill that grants increased mana regeneration rate and additional life regeneration.
Shaper (passive skill) | Anointment | Blight anointment to unlock the passive:
Shaping the Mountains | Description | Shaping the Mountains is a notable atlas passive skill.
Shaping the Mountains | Description | In addition to granting a chance to make Maps drop with a chance for a higher tier, it also provides a chance on map completion for one free use of a random league map crafting option on the map device.
Shaping the Mountains | Description | Maps Dropped in Areas have #% chance to be 1 tier higher : This stat stacks additively with similar stats from the Atlas Passive Tree and Voidstones ; if the chance exceeds 100%, the excess chance instead applies to chance to be 2 tiers higher, and so on. [1]
Shaping the Mountains | Ruthless Mode | This passive has a lower chance to provide higher tier maps in Ruthless mode. Additionally, it no longer grants free map crafting options and instead increases Monster physical damage reduction and elemental and chaos resistances.
Shaping the Seas | Description | Shaping the Seas is a notable atlas passive skill.
Shaping the Seas | Description | In addition to granting a chance to make Maps drop with a chance for a higher tier, it also provides a chance on map completion for one free use of a special map crafting option on the map device.
Shaping the Seas | Ruthless mode | This passive has a lower chance to provide higher tier maps in Ruthless mode. Additionally, it no longer grants free map crafting options and causes monsters to have 15% of physical damage gained as cold.
Shaping the Skies | Description | Shaping the Skies is a notable atlas passive skill.
Shaping the Skies | Description | In addition to granting a chance to make Maps drop with a chance for a higher tier, it also provides a chance on map completion for one free use of a random special map crafting option on the map device.
Shaping the Skies | Description | Tier 1-15 Maps found have #% chance to become 1 tier higher : This stat stacks additively with similar stats from the Atlas Passive Tree and Voidstones ; if the chance exceeds 100%, the excess chance instead applies to chance to be 2 tiers higher, and so on. [1]
Shaping the Skies | Ruthless mode | This passive has a lower chance to provide higher tier maps in Ruthless mode. Additionally, it no longer grants free map crafting options and causes monsters to have 15% of physical damage gained as lightning.
Shaping the Valley | Description | Shaping the Valley is a notable atlas passive skill.
Shaping the Valley | Description | In addition to granting a chance to make Maps drop with a chance for a higher tier, it also grants increased item quantity , item rarity , and pack size in maps affected bythe Fortune Favours the Brave map crafting option.
Shaping the Valley | Ruthless mode | This passive has a lower chance to provide higher tier maps in Ruthless mode. Additionally, it no longer grants Fortune Favours the Brave bonuses and causes monsters to have 15% of physical damage gained as Fire.
Shaping the World | Description | Shaping the World is a notable atlas passive skill.
Shaping the World | Description | In addition to granting a chance to make maps drop with a chance for a higher tier, it also grants final map bosses have a chance to drop a connected map.
Shaping the World | Description | Maps Dropped in Areas have #% chance to be 1 tier higher : This stat stacks additively with similar stats from the Atlas Passive Tree and Voidstones ; if the chance exceeds 100%, the excess chance instead applies to chance to be 2 tiers higher, and so on. [1]
Shaping the World | Ruthless mode | This passive has a lower chance to provide higher tier maps in Ruthless mode. Additionally, it no longer grants a chance to drop a connected map and causes monsters to have 15% of physical damage gained as cold.
Shepherd of Souls | Description | Shepherd of Souls is a keystone passive skill / keyword which causes non- aura Vaal skills to have significantly less Soul Cost but also increase their Soul Cost per Vaal skill used in the past 8 seconds.
Shifting Shadow | Description | Shifting Shadow is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Shifting Shadow | Description | It only spawns from a Small Cluster Jewel with the enchantment Added Small Passive Skills grant: 15% increased Evasion Rating.
Shifting Shadow | Unique items | The following unique items are related to Shifting Shadow:
Shrieking Bolts | Description | Shrieking Bolts is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Shrieking Bolts | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 10% increased Projectile Damage.
Shrieking Bolts | Unique items | The following unique items are related to Shrieking Bolts:
Significant Troves | Description | Significant Troves is an atlas passive skill.
Significant Troves | Mechanics | Unique monsters in your maps have increased chance to drop scarabs.
Silent Steps | Description | Silent Steps is a notable passive skill that grants increased blind effect and increased evasion rating.
Silent Steps | Anointment | Blight anointment to unlock the passive:
Singular Focus | Description | Singular Focus is an Atlas keystone passive skill.
Singular Focus | Mechanics | Generally, Singular Focus may result in a reduction of overall map drops but an increase of desirable map base type drops. It is best used to oversustain a single map. It may be better to Favourite more than one map for overall map sustain.
Singular Focus | Mechanics | This does not affect certain Map Rewards such as those from Delirium rewards.
Singular Focus | Mechanics | Singular Focus does not replace Tier 17 maps with currency. However, due to the impact of this keystone on overall Tier 16 map drop rate, this can result in finding fewer Tier 17 maps overall. [2]
Singular Focus | Ruthless mode | In Ruthless mode , non-Favoured maps are not converted to currency and increased chance for Favoured maps to drop is reduced to 100%.
Sinner Saint | Description | Sinner Saint is a notable Bloodline Ascendancy passive skill from the Lycia Bloodline that grants 67% elemental to chaos damage conversion.
Sione's Ambition | Description | Sione's Ambition is a notable passive skill that affects Strike skills that can target additional enemies, such as via Ancestral Call Support , increasing the maximum range they can find additional targets.
Sione's Ambition | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Sione's Ambition | Anointment | Blight anointment to unlock the passive:
Skeletal Atrophy | Description | Skeletal Atrophy is a cluster jewel -only notable passive skill.
Skeletal Atrophy | Description | It is either from Large Cluster Jewel that has Added Small Passive Skills grant: Minions deal 10% increased Damage enchantment, or Megalomaniac , a unique Medium Cluster Jewel.
Skeletal Atrophy | Unique items | The following unique items are related to Skeletal Atrophy:
Skittering Runes | Description | Skittering Runes is a notable passive skill that grants increased effect magnitude for curses.
Skittering Runes | Anointment | Blight anointment to unlock the passive:
Skittering Swarms | Description | Skittering Swarms is an atlas passive skill. Increased scarabs found in your maps.
Skull Cracking | Description | Skull Cracking is a notable passive skill that grants increased physical damage with maces. It also grants reduced enemy stun threshold with maces.
Skull Cracking | Anointment | Blight anointment to unlock the passive:
Skullbreaker | Description | Skullbreaker is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Skullbreaker | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 15% increased Critical Strike Chance.
Skullbreaker | Unique items | The following unique items are related to Skullbreaker:
Slaughter | Description | Slaughter is a notable passive skill that grants increased physical damage and attack speed with axes. It grants increased damage with ailments from attack skills while wielding an axe. It also grants rage on hit with axes.
Slaughter | Anointment | Blight anointment to unlock the passive:
Slaughter Them All | Description | Slaughter Them All is an atlas passive skill.
Sleepless Sentries | Description | Sleepless Sentries is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Sleepless Sentries | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Totem Damage.
Sleepless Sentries | Unique items | The following unique items are related to Sleepless Sentries:
Sleight of Hand | Description | Sleight of Hand is a notable passive skill that grants increased damage and increased attack speed with one-handed melee weapons.
Sleight of Hand | Anointment | Blight anointment to unlock the passive:
Slum Lord | Description | Slum Lord is a notable passive skill added by the Elegant Hubris jewel.
Smashing Strikes | Description | Smashing Strikes is a notable passive skill that grants increased damage, increased critical strike chance with staves. It also grants a chance to gain a endurance charge on melee critical strike.
Smashing Strikes | Anointment | Blight anointment to unlock the passive:
Smite the Heretical | Description | Smite the Heretical is a notable passive skill added by the Militant Faith jewel. It requires the listed amount of Devotion to be allocated to function.
Smite the Ignorant | Description | Smite the Ignorant is a notable passive skill added by the Militant Faith jewel. It requires the listed amount of Devotion to be allocated to function.
Smite the Weak | Description | Smite the Weak is a notable passive skill only found on Large Cluster Jewels under certain enchantment , or in Megalomaniac which always has 3 random notables. The notable grants increased attack damage against maimed enemies. It also grants a additional chance to maim on hit with attacks.
Smite the Weak | Unique items | The following unique items are related to Smite the Weak:
Smite the Wicked | Description | Smite the Wicked is a notable passive skill added by the Militant Faith jewel. It requires the listed amount of Devotion to be allocated to function.
Smoking Remains | Description | Smoking Remains is a notable passive skill from cluster jewel only.
Smoking Remains | Unique items | The following unique items are related to Smoking Remains:
Snaring Spirits | Description | Snaring Spirits is a notable passive skill only found on a rare or magic Medium Cluster Jewel s (only the Added Small Passive Skills grant: 12% increased Totem Damage variant) or Megalomaniac.
Snaring Spirits | Description | The Hinder debuff is applied to enemies within 2.5 metres of the summoned totem. It has the default magnitude and duration, as stated in the help text: Hinder reduces movement speed by 30% for 4 seconds.
Snaring Spirits | Unique items | The following unique items are related to Snaring Spirits:
Snowforged | Description | Snowforged is a notable passive skill that grants increased fire damage and increased cold damage. Also reduce the elemental resistance of enemies Ignite or Chill by you.
Snowforged | Anointment | Blight anointment to unlock the passive:
Snowstorm | Description | Snowstorm is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Snowstorm | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Lightning Damage or Added Small Passive Skills grant: 12% increased Cold Damage.
Snowstorm | Unique items | The following unique items are related to Snowstorm:
Solidarity | Description | Solidarity is an atlas passive skill.
Solidarity | Mechanics | Increased Scouting reports found in your maps and adds chance of them dropping as Operative's Scouting Report instead.
Solipsism | Description | Solipsism is a keystone passive skill which makes Intelligence provide no inherent bonus to Energy Shield. Instead you gain 2% reduced duration of Elemental Ailments on you per 15 Intelligence.
Solipsism | Location | Solipsism is located in the center of the passive skill tree, northeast of the Scion starting area.
Soul of Steel | Description | Soul of Steel is a notable passive skill that grants increased and flat armour rating. It also grants additional maximum elemental resistances.
Soul of Steel | Location | As of version 3.21.0 , the passives cluster is located at outer edge of the Marauder area of the skill tree. The cluster shares the same small passive skill node " Strength " with Unfaltering cluster and Imbalanced Guard keystone.
Soul of Steel | Anointment | Blight anointment to unlock the passive:
Soul Siphon | Description | Soul Siphon is a notable passive skill that grants increased maximum mana. It also grants additional base maximum mana and mana gain on kill.
Soul Siphon | Anointment | Blight anointment to unlock the passive:
Warlock of the Mists that grants the Summon Dark Effigy skill | Soul Splitting | Description | Soul Splitting is a notable Ascendancy passive skill for the Warlock of the Mists that grants the Summon Dark Effigy skill.
Warlock of the Mists that grants the Summon Dark Effigy skill | Soul Splitting | Dark Effigy | The Dark Effigy skill creates a Dark Effigy tethered to you. Damage taken from enemy hits is taken from the Effigy's life before the character 's, and 200% of damage the Effigy takes from enemy hits is taken from character life before its own. The Effigy is destroyed if the character gets too far away from it. The effigy is not a minion. Its life scales is based off of character level. [1]
Soul Thief | Description | Soul Thief is a notable passive skill that grants increased evasion rating and increased maximum energy shield. It also grants recover energy shield on kill.
Soul Thief | Anointment | Blight anointment to unlock the passive:
Soul Worship | Description | Soul Worship is a notable passive skill added by the Glorious Vanity jewel.
Sovereignty | Description | Sovereignty is a notable passive skill that grants increased mana reservation efficiency for skills. It also grants increased effect magnitude for non-curse auras cast by the character. (i.e. excluding Hex casted as aura by using Blasphemy Support , and others.)
Sovereignty | Anointment | Blight anointment to unlock the passive:
Speaker of the Dead | Description | Speaker of the Dead is an Atlas passive skill and Atlas keystone , specifically for Tormented spirits encounters.
Speaker of the Dead | Mechanics | Speaker of the Dead causes Tormented Spirits to be unable to possess monsters, but instead are able to Possess players for 20 seconds in maps. Players possessed by Tormented Spirits can apply a Tormented Spirit's Touch modifier to up to 40 nearby normal or magic monsters per Tormented Spirit possessing the player. This number is counted individually for each different Tormented Spirit.
Speaker of the Dead | Mechanics | Tormented Spirits in your Maps can Possess Players for 20 seconds : Making contact with a Tormented Spirit grants a buff, providing 35% increased Damage, 35% increased Attack Speed, 35% increased Cast Speed, and 35% increased Movement Speed. This buff stacks based on the number of Tormented Spirits possessing you. This buff does stack with the similar buff from Fairgraves' Tricorne.
Speaker of the Dead | Mechanics | Additionally, being possessed by a Tormented Spirit grants the corresponding " X's Grip " buff listed below; note that certain stats may not be directly reflected on the character's stats or tooltip (e.g. Attacks cause Bleeding). A player can have multiple different Grip buffs at once; a duplicate Tormented Spirit cannot possess a player that already has the corresponding Grip buff.
Speaker of the Dead | Tormented Spirit modifiers | Note: information is based on inferences from metadata and may not be 100% accurate.
Speaker of the Dead | Unusual | These Tormented Spirits can only appear in maps affected by a Torment Scarab of Peculiarity. Every monster Possessed by an usual variant will drop an item specific to the tormented spirit. (map, scarab or unique item) The Betrayer and Heretic Touched monsters also have a chance to drop a specific item (scarab or map depending on the spirit). The chance is supposedly 10%, following the metadata which may not be accurate. The scarabs dropped this way doesn't seem to be affected by modifiers on the atlas tree, as notable nodes such as Loved by the Sun doesn't prevent abyss scarabs to drop.
Speaker of the Dead | Location | As of version 3.22.0, it is located near the center-left of the Atlas passive skill tree connected to the Torment cluster containing Unrelenting Torment.
Special Reserve | Description | Special Reserve is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Special Reserve | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 6% increased Flask Effect Duration or Added Small Passive Skills grant: 10% increased Life Recovery from Flasks and 10% increased Mana Recovery from Flasks.
Special Reserve | Unique items | The following unique items are related to Special Reserve:
Spiked Bulwark | Description | Spiked Bulwark is a notable passive skill.
Spiked Bulwark | Anointment | Blight anointment to unlock the passive:
Spiked Concoction | Description | Spiked Concoction is a notable passive skill only found on a Medium Cluster Jewel (with specific enchantments , read spawn weight below), or Megalomaniac , a unique jewel that has random notables.
Spiked Concoction | Description | The notables grants the player character a buff called Alchemist's Genius , which this notable is one of the few source for this buff.
Spiked Concoction | Description | Alchemist's Genius increases Flask Charges gained by 20% and effect of Flasks by 10%, for 4 seconds.
Spiked Concoction | Unique items | The following unique items are related to Spiked Concoction:
Spinecruncher | Description | Spinecruncher is a notable passive skill that grants increased physical damage and stun duration against full life enemies with maces and sceptres.
Spinecruncher | Anointment | Blight anointment to unlock the passive:
Spirit of War | Description | Spirit of War is a notable passive skill that grants mana leech for physical attack damage and reduced mana cost for attacks.
Spirit of War | Anointment | Blight anointment to unlock the passive:
Spirit Void | Description | Spirit Void is a notable passive skill that grants mana leech for damage dealt by attacks , increases mana leech 's maximum capping.
Spirit Void | Anointment | Blight anointment to unlock the passive:
Spiritual Aid | Description | Spiritual Aid is a notable passive skill that causes Increases and Reductions to Minion Damage to also apply to the player's damage.
Spiritual Aid | Mechanics | This passive is limited to the player's global Minions deal #% increased/reduced Damage (if.) modifiers. It has no interaction with more or less minion damage modifiers, modifiers specific for a single skill, or bonuses granted to existing minions (e.g. Fresh Meat Support 's Adrenaline ).
Spiritual Aid | Mechanics | Spiritual Aid does not stack with similar modifiers, such as The Scourge or Absolution of Inspiring. The same damage modifiers cannot be included in the same calculation twice. [1]
Spiritual Aid | Anointment | Blight anointment to unlock the passive:
Spiritual Command | Description | Spiritual Command is a notable passive skill that grants increased attack speed and cast speed for minions. The character is also affected by increases and reductions to Minion Attack Speed.
Spiritual Command | Anointment | Blight anointment to unlock the passive:
Spiteful Presence | Description | Spiteful Presence is a cluster jewel only notable passive skill.
Spiteful Presence | Calculations | Hatred has 50% increased Mana Reservation Efficiency reduces Hatred aura reservation to:
Spiteful Presence | Calculations | 50 % × 100 % 100 % + 50 % = 33.33 % \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\dfrac {50\%\times 100\%}{100\%+50\%}}=33.33\%
Spiteful Presence | Calculations | Since notable passive skills from cluster jewels are stackable, if the player does not have other increased/reduce (Mana) Reservation Efficiency mod (i.e. does not take into account of Added Small Passive Skills grant: 6% increased Mana Reservation Efficiency of Skills , the enchantment of the magic/rare Small Cluster Jewel that this passive currently able to obtain from), other than two Spiteful Presence, then the mana reservation reduced to:
Spiteful Presence | Calculations | 50 % × 100 % 100 % + ( 50 % + 50 % ) = 25.00 % \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\dfrac {50\%\times 100\%}{100\%+(50\%+50\%)}}=25.00\%
Spiteful Presence | Calculations | Note that there is a diminishing marginal return so that the mana reservation never equal to zero even stacking Reservation Efficiency towards positive infinity.
Spiteful Presence | Mods | It can also appears on a legacy Medium Cluster Jewel with the enchantment : Added Small Passive Skills grant: 3% increased effect of Non-Curse Auras from your Skills
Spiteful Presence | Unique items | The following unique items are related to Spiteful Presence:
Split Shot | Description | Split Shot is a notable passive skill.
Split Shot | Anointment | Blight anointment to unlock the passive:
Spring Back | Description | Spring Back is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Spring Back | Description | It only spawns from a Small Cluster Jewel with the enchantment Added Small Passive Skills grant: 6% increased maximum Energy Shield.
Spring Back | Unique items | The following unique items are related to Spring Back:
Stamina | Description | Stamina is a notable passive skill that grants an additional maximum endurance charge.
Stamina | Anointment | Blight anointment to unlock the passive:
Stand Your Ground | Description | Stand Your Ground is an atlas passive skill.
Static Blows | Description | Static Blows is a notable passive skill that grants increased damage if an enemy has been shocked recently. It also grants increased duration and effect of lightning ailments ( Shock and Sap ).
Static Blows | Anointment | Blight anointment to unlock the passive:
Steadfast | Description | Steadfast is a notable passive skill that increases the maximum stacks of fortify.
Steadfast | Anointment | Blight anointment to unlock the passive:
Steady Torment | Description | Steady Torment is a notable passive skill only found on a Cluster Jewel , with specific enchantment (read spawn weight table below), or Megalomaniac , a unique jewel that has random notables.
Steady Torment | Unique items | The following unique items are related to Steady Torment:
Steelwood Stance | Description | Steelwood Stance is a notable passive skill that grants increased damage and additional chance to block attack damage with staves. It also grants additional armour if you have blocked recently.
Steelwood Stance | Anointment | Blight anointment to unlock the passive:
Steeped in the Profane | Description | Steeped in the Profane is a notable passive skill.
Steeped in the Profane | Anointment | Blight anointment to unlock the passive:
Stoic Focus | Description | Stoic Focus is a cluster jewel only notable passive skill. It is either found on non-unique rarity Small Cluster Jewel and has the enchantment : Added Small Passive Skills grant: Channelling Skills deal 12% increased Damage , Added Small Passive Skills grant: 1% Chance to Block Attack/Spell Damage , or a Megalomaniac which drops as a corrupted item and has 3 random cluster jewel notable passives.
Stoic Focus | Unique items | The following unique items are related to Stoic Focus:
Storm Drinker | Description | Storm Drinker is a notable passive skill only found on Large Cluster Jewels that have an enchantment Added Small Passive Skills grant: 12% increased Lightning Damage , or a Megalomaniac.
Storm Drinker | Unique items | The following unique items are related to Storm Drinker:
Storm Weaver | Description | Storm Weaver is a notable passive skill that grants increased cold damage and lightning damage. It also increased elemental damage on enemies Shocked or Frozen by you.
Storm Weaver | Anointment | Blight anointment to unlock the passive:
Storm's Hand | Description | Storm's Hand is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Storm's Hand | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: Wand Attacks deal 12% increased Damage with Hits and Ailments.
Storm's Hand | Unique items | The following unique items are related to Storm's Hand:
Stormrider | Description | Stormrider is a notable passive skill found on Large Cluster Jewels with the enchantments Added Small Passive Skills grant: 12% increased Cold Damage or [.] grant: 12% increased Lightning Damage , on Medium Cluster Jewels with the enchantment Added Small Passive Skills grant: 10% increased Effect of Non-Damaging Ailments , and on Megalomaniac.
Stormrider | Unique items | The following unique items are related to Stormrider:
Straight and Narrow | Description | Straight and Narrow is an atlas passive skill.
Straight and Narrow | Mechanics | Abysses , Blight encounters, Breaches , [ confirmation needed because of 3.28 change ] Expedition encounters, Legion encounters, Mirrors of Delirium , Ore deposit , Ritual altars, the Sacred Grove , Smuggler's Caches , and Ultimatum encounters are Extra Content that can be turned off through Atlas passives.
Streamlined | Description | Streamlined is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Streamlined | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 10% increased Projectile Damage.
Streamlined | Unique items | The following unique items are related to Streamlined:
Street Urchin | Description | Street Urchin is a notable passive skill added by the Elegant Hubris jewel.
Strength of Blood | Description | Strength of Blood is a keystone passive skill which disables recovery from non-instant Life Leech , while granting 2% additional physical damage reduction for every 3% recovery per second from life leech.
Strength of Blood | Location | This keystone will conquer any keystones within the radius of a Lethal Pride jewel with modifier Commanded leadership over (10000–18000) warriors under Kaom.
Strength of Blood | Mechanics | The physical damage reduction only applies while leeching, and is based on the life recovery of your current leech instances. [1] Without modifiers, per-second life recovery from leech is capped at 20%, allowing Strength of Blood to grant up to 12% additional physical damage reduction.
Strength of Blood | Mechanics | Preventing the removal of life leech (when unreserved life is filled) is typically required to reliably gain physical damage reduction. This can be accomplished through:
Strike Leader | Description | Strike Leader is a cluster jewel only notable passive skill.
Strike Leader | Description | The notable only appears/craftable on a Cluster Jewel. Either it is non-unique rarity and has the enchantment : Added Small Passive Skills grant: 1% Chance to Block Attack Damage , or spell block, for Small Cluster Jewel ,
Strike Leader | Description | or the enchantment: Added [.] grant: 12% increased Attack Damage while holding a Shield , for Large Cluster Jewel ,
Strike Leader | Description | or a Megalomaniac which drops as a corrupted item and has 3 random cluster jewel notable passives.
Strike Leader | Unique items | The following unique items are related to Strike Leader:
Strike Leader | Trivia | The icon of this passive is shared with many other cluster jewel-only notables, such as Confident Combatant , Enduring Ward , One with the Shield and etc.
Strong Arm | Description | Strong Arm is a notable passive skill that grants additional strength , increased physical damage and increased Attack Speed with one-handed melee weapons.
Strong Arm | Anointment | Blight anointment to unlock the passive:
Stubborn Student | Description | Stubborn Student is a notable passive skill. It can only appear from Small Cluster Jewel that have the following enchantments : Added Small Passive Skills grant: 6% increased maximum Mana or Added [.] grant: 15% increased Armour , or a Megalomaniac.
Stubborn Student | Unique items | The following unique items are related to Stubborn Student:
Student of Decay | Description | Student of Decay is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree. It only spawns from a Medium Cluster Jewel or Small Cluster Jewel with one of the following enchantments :
Student of Decay | Unique items | The following unique items are related to Student of Decay:
Sturdy Construction | Description | Sturdy Construction is an atlas passive skill.
Sturdy Construction | Mechanics | Blight pumps in your maps have increased durability and Blight monsters take increased damage.
Sublime Form | Description | Sublime Form is a Small Cluster Jewel only notable passive skill (only evasion, reservation efficiency variant).
Sublime Form | Description | It can also be found on a unique cluster jewel Megalomaniac which drops with 3 random notable passive skills, or on a legacy aura variant Medium Cluster Jewel.
Sublime Form | Unique items | The following unique items are related to Sublime Form:
Sublime Sensation | Description | Sublime Sensation is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Sublime Sensation | Description | It only spawns from a Small Cluster Jewel with the enchantment Added Small Passive Skills grant: 4% increased maximum Life or Added Small Passive Skills grant: 6% increased maximum Energy Shield.
Sublime Sensation | Unique items | The following unique items are related to Sublime Sensation:
Subtle Manipulations | Description | Subtle Manipulations is an atlas passive skill.
Subtle Manipulations | Mechanics | Map device has a chance not to consume scarabs when a map is opened.
Successive Detonations | Description | Successive Detonations is a notable passive skill that grants increased critical strike chance and additional critical strike multiplier for each mine detonated recently , reached when ten mines are detonated.
Successive Detonations | Anointment | Blight anointment to unlock the passive:
Sulphite Infusion | Description | Sulphite Infusion is an atlas passive skill.
Sulphite Infusion | Mechanics | Gain sulphite on map completion, amount depends on tier of map.
Supercharge | Description | Supercharge is a notable passive skill only found on existing magic or rare legacy Large Cluster Jewels that have the enchantment Added Small Passive Skills grant: 12% increased Lightning Damage and the mod Notable Notable Prefix 1 Added Passive Skill is Supercharge , or existing unique jewel Megalomaniac with the mod Notable Notable Prefix 1 Added Passive Skill is Supercharge.
Supercharge | Unique items | The following unique items are related to Supercharge:
Supercharge | Unique items | Only legacy Megalomaniac that dropped before version 3.16.0 in permanent leagues may have the mod Notable Notable Prefix 1 Added Passive Skill is Supercharge
Superiority | Description | Superiority is a notable passive skill added by the Elegant Hubris jewel.
Supplication | Description | Supplication is an atlas passive skill. Maps contain an additional shrine.
Supreme Decadence | Description | Supreme Decadence is a keystone passive skill which causes life recovery from flasks to also apply to energy shield , but reduces the recovery amount. Life flask effects are still removed on full life. The amount recovered is based on the life recovery, regardless of your maximum Energy Shield value.
Supreme Decadence | Description | This keystone is not on the default character skill tree. See #Related unique items for item needed to have this keystone.
Supreme Decadence | Location | This keystone will replace (in-game wording: conquered ) any keystones within the radius of a Elegant Hubris jewel with modifier Commissioned (2000-160000) coins to commemorate Cadiro.
Supreme Decadence | Related unique items | The following unique items are related to Supreme Decadence:
Supreme Ego | Description | Supreme Ego is a keystone passive skill which increases your mana reservation amount, and prevents your auras from affecting allies, but grants increased aura effect to a skill per percent of mana reserved by that skill.
Supreme Ego | Mechanics and Interactions | Supreme Ego 40% more Mana Reservation of Aura Skills applies to all aura skills that reserve mana, rounding down, including mines.
Supreme Ego | Mechanics and Interactions | Auras from your Skills can only affect you not only prevents your beneficial auras from affecting minions and allies , but also prevents detrimental aura effects from affecting enemies, such as Pride and Flesh and Stone [1] , auras from mines [2] , or Curse auras.
Supreme Ego | Mechanics and Interactions | Summon Skitterbots will also reserve more mana due to having the Aura tag, but the shock and chill will apply at their regular values and not be scaled.
Supreme Ego | Location | The keystone is located on the right side of the tree, between the Shadow and Ranger starting areas.
Supreme Ego | Location | This keystone can also be obtained from the tree by using a legacy Elegant Hubris jewel with modifier Commissioned (2000-160000) coins to commemorate Chitus. Unlike legacy notable from cluster jewel, Supreme Ego from passive skill tree and from the alt tree by using the timeless jewel, are the same.
Supreme Grandstanding | Description | Supreme Grandstanding is a keystone passive skill which gives nearby enemies a chance to generate an endurance , frenzy , or power charge when they hit you, but causes charges gained by nearby enemies and allies to also be given to you.
Supreme Grandstanding | Interactions | Supreme Grandstanding can share any kind of charge (such as Brutal Charges from Arn's Anguish or Void Charges from Voidfletcher ), but you need to be able to have that kind of charge (i.e. have a non-zero maximum value for that charge type). [1]
Supreme Grandstanding | Interactions | This keystone's charge sharing is one-directional. [2] Making allies and enemies share their charges causes you to gain charges when they gain charges. It does not cause them to gain charges when you do.
Supreme Grandstanding | Location | This keystone will replace (in-game wording: conquered ) any keystones within the radius of a Elegant Hubris jewel with modifier Commissioned (2000-160000) coins to commemorate Victario.
Supreme Ostentation | Description | Supreme Ostentation is a Timeless Jewel only keystone passive skill which allows the player to ignore Attribute Requirements (on the gems and equipment) and removes inherent bonuses provided by those attributes , thus making them irrelevant in most cases.
Supreme Ostentation | Description | With the keystone allocated:
Supreme Ostentation | Description | This also effectively nullifies stats that directly modify attribute bonuses, such as Iron Will , Iron Grip , Iron Will Support , Iron Grip Support , or The Iron Fortress ' Strength's Damage Bonus instead grants 3% increased Melee Physical Damage per 10 Strength.
